Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|GN125F|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|619795.78|74375.49|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|GN125F|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|619795.78|74375.49|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|GN125F|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|619795.78|74375.49|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|GN125F|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|619795.78|74375.49|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|GN125F|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|619795.78|74375.49|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|GN125F|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|619795.78|74375.49|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|GN125F|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|619795.78|74375.49|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|GN125F|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|619795.78|74375.49|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|GN125F|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|619795.78|74375.49|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|GN125F|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|619795.78|74375.49|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|GN125F|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|619795.78|74375.49|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|GN125F|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|619795.78|74375.49|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|GN125F|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|619795.78|74375.49|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|GN125F|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|619795.78|74375.49|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|GN125F|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|619795.78|74375.49|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|GN125F|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|619795.78|74375.49|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|GN125F|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|619795.78|74375.49|
